"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 13 00:14:33 IST 2025","Thu Nov 13 00:14:43 IST 2025","10034","","Bond Trading","","Bond Trading","","Rapid Market Update Reflected",""
"passed","Thu Nov 13 00:14:19 IST 2025","Thu Nov 13 00:14:19 IST 2025","31","","Bond Trading","","Bond Trading","","Invalid Instrument Should Fail",""
"passed","Thu Nov 13 00:14:30 IST 2025","Thu Nov 13 00:14:33 IST 2025","3062","","Bond Trading","","Bond Trading","","Multiple Concurrent Traders",""
"passed","Thu Nov 13 00:14:23 IST 2025","Thu Nov 13 00:14:25 IST 2025","2324","","Bond Trading","","Bond Trading","","Retry Logic Handles Injected Failure",""
"passed","Thu Nov 13 00:14:43 IST 2025","Thu Nov 13 00:14:43 IST 2025","36","","Bond Trading","","Bond Trading","","Risk Breach Attempt Fails",""
"passed","Thu Nov 13 00:14:13 IST 2025","Thu Nov 13 00:14:19 IST 2025","5349","","Bond Trading","","Bond Trading","","Create And Confirm Valid Trade",""
"passed","Thu Nov 13 00:14:25 IST 2025","Thu Nov 13 00:14:27 IST 2025","2147","","Bond Trading","","Bond Trading","","Partial Fill Execution Captured",""
"passed","Thu Nov 13 00:14:21 IST 2025","Thu Nov 13 00:14:23 IST 2025","2138","","Bond Trading","","Bond Trading","","Executing Already Confirmed Trade Raises Error",""
"passed","Thu Nov 13 00:14:27 IST 2025","Thu Nov 13 00:14:30 IST 2025","2271","","Bond Trading","","Bond Trading","","Trade Cancelled Before Confirmation",""
"passed","Thu Nov 13 00:14:19 IST 2025","Thu Nov 13 00:14:21 IST 2025","2081","","Bond Trading","","Bond Trading","","Price Deviation Above Tolerance Rejects Trade",""
